CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Exited
352,50,1,320.97639675101817,3,0,0,145201.22934732062,0,1,0
685,65,1,219107.63161122144,2,0,0,84001.6057891231,0,1,1
520,39,2,131587.33871590672,4,0,0,134112.1209125077,0,1,1
356,52,6,119965.46479801438,1,0,1,124833.9358371652,1,0,0
321,81,8,62056.56778733909,4,1,0,91340.71238770711,1,0,1
300,84,7,116304.51068902553,4,1,0,55832.37350528392,1,0,0
371,47,8,247111.05890383574,4,1,0,103087.5193859805,0,1,1
716,76,5,54804.78482813977,4,1,0,153249.3945279554,1,0,1
464,76,0,46550.72199719821,2,1,0,54150.420143560754,1,0,0
580,69,3,62893.039055456466,2,0,0,63281.61787720501,1,0,0
708,34,5,143476.89052768928,1,0,0,159090.70932118245,1,0,0
337,56,5,241877.952012658,3,0,0,146034.22672360466,1,0,1
622,75,7,149209.21359896698,3,0,1,101441.4804999706,1,0,0
349,56,0,63305.44391751343,4,0,0,120316.35441993296,0,1,0
380,40,10,114517.60198352815,4,1,0,87598.10308897118,1,0,0
558,30,1,101504.0342642939,2,0,0,82532.04795415819,0,1,1
593,29,1,12108.062164233688,3,1,1,87614.3803162078,0,1,0
741,43,5,132766.88061755526,1,1,1,83874.1519112533,0,1,0
663,57,10,32761.66052475519,4,1,0,117822.1514982921,0,1,1
635,65,6,218983.45094180753,2,0,0,72959.36134301362,0,1,0
441,33,1,142730.35641693318,4,0,1,52200.9328229898,0,1,0
526,72,4,219597.68548051774,4,0,0,121853.78065133932,0,1,0
410,34,5,248571.61871829073,2,1,0,34068.67851597365,1,0,0
709,32,3,245228.9555950719,3,1,0,123437.93535914262,0,1,0
563,83,0,26111.626919963976,3,0,0,64221.6804142949,1,0,1
300,34,2,245652.43860300188,4,1,0,54732.874572434186,0,1,0
502,61,9,206894.27402527264,3,1,0,79264.36721013818,1,0,0
724,59,8,202191.10736780567,2,1,0,45274.99492119701,1,0,0
308,76,5,23433.420469725606,3,0,0,79983.65119309846,1,0,1
760,40,1,46673.82259373577,4,1,0,43301.823879373005,1,0,0
725,57,8,253542.4787778398,4,0,1,92853.53531142388,0,1,0
439,52,3,55476.24086037654,2,0,0,52902.067423039945,1,0,1
493,48,10,43953.86584352417,4,1,0,46899.55607909491,1,0,0
754,87,7,94211.42086446164,3,1,1,105284.25188262603,1,0,1
380,86,9,237472.61135907148,2,1,0,111281.85655858618,1,0,1
734,48,6,123810.30052470445,4,0,0,30717.28031124008,0,1,1
300,55,10,239351.7669631625,2,0,0,80398.06470517244,1,0,1
416,75,2,86928.08290796127,2,1,0,40134.29170562179,0,1,0
523,85,7,58897.44775901983,3,1,1,126023.77991958788,1,0,0
637,47,3,128752.78230126927,3,0,1,118597.98084033198,0,1,0
565,61,1,160023.99146809106,1,1,0,36464.787295718044,1,0,0
300,32,10,101789.73963952459,2,0,0,152362.57674727554,0,1,0
491,45,4,89967.93249457826,3,1,0,154794.84572160942,0,1,0
595,87,0,56695.41404104413,4,1,1,73507.31178650958,1,0,0
589,66,7,71501.75921766057,1,1,0,46979.64099670932,1,0,0
341,70,7,175010.6704195982,1,0,1,44864.62145215798,1,0,0
616,84,2,96167.12003955625,4,1,1,139293.66897701606,0,1,0
704,84,0,20736.83084746741,3,1,0,89691.17558256596,0,1,0
677,38,3,35920.401387659,2,0,0,31236.097281409904,1,0,0
758,81,8,96818.5889816888,1,0,0,150295.7712430553,1,0,1
300,44,8,240370.6317604441,4,0,0,107055.8523824382,1,0,1
455,75,0,98547.86802795487,4,0,1,119751.60842866349,1,0,0
330,72,10,15766.94013743557,4,0,1,137062.01185903995,1,0,0
637,49,6,108678.50704880412,4,0,0,136415.23108330715,1,0,0
300,64,5,173892.57442964314,1,0,0,39854.63342764415,1,0,1
639,47,6,154334.99508653747,2,0,0,104618.99809397932,1,0,0
355,75,6,72488.77022036782,3,1,0,120511.80161953373,1,0,0
726,87,7,178903.11999266047,4,1,0,41130.656916051616,1,0,0
651,81,7,163962.33720498643,4,1,0,58912.11793573889,1,0,1
411,81,9,44764.97189553183,2,1,1,81455.87960715305,0,1,0
451,75,10,42157.7009277437,2,0,1,145248.2582203183,0,1,0
519,75,1,142267.60133766462,3,0,0,140582.34185032564,0,1,0
520,73,3,171454.025890187,1,0,0,131673.39018521906,1,0,0
705,33,3,250096.75206366775,2,0,1,158735.97251942748,0,1,0
711,61,10,109701.96399026274,1,0,0,61545.364707130095,0,1,0
501,41,9,198884.2023146975,1,1,0,90815.92530608393,1,0,1
545,75,7,30295.394295757862,4,1,0,88073.9916038601,1,0,0
587,50,2,231298.34710206825,1,0,1,118261.86373576013,1,0,0
302,89,2,164607.96076369836,4,1,0,140519.92725713993,1,0,0
466,47,1,163547.8861513243,4,0,1,93918.75818630436,1,0,0
437,40,0,37035.08479643323,3,0,1,93899.1331018766,1,0,0
629,74,7,10291.769676733466,1,1,0,109081.315670803,1,0,0
742,71,8,182376.7758760011,2,1,0,126521.6917880064,1,0,0
300,68,8,30434.679330792518,2,0,1,56169.10211170348,0,1,0
406,59,10,33012.23886582251,2,1,1,155041.74157155654,1,0,0
300,53,7,48750.0380502161,3,0,1,41966.95248139542,0,1,0
314,77,4,25414.085616296637,4,0,0,33003.00952265573,0,1,1
770,80,0,162602.05531187978,4,1,0,76642.88291442371,1,0,1
593,41,8,109721.24952063289,2,0,1,121186.54186880264,0,1,0
378,79,5,69184.98402648255,4,0,0,157149.74534367683,1,0,0
721,84,6,114594.84409660993,4,1,0,151258.85926003073,1,0,1
312,63,7,219476.40053695196,3,0,1,119503.36814812035,1,0,0
388,35,4,241040.64531134543,1,0,0,86750.94354554234,1,0,0
748,67,5,126743.79760989481,1,1,0,107454.2324334816,1,0,0
641,49,6,147355.75792932863,3,1,0,155925.44798234222,0,1,0
668,49,6,66871.98188836695,3,1,0,64515.13860177314,1,0,1
538,43,1,133536.098445651,4,0,0,92176.49317274772,1,0,1
628,54,10,194511.09780316037,3,0,1,120077.21979324358,1,0,0
